Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Seasonally Adjusted,last_updated,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,property_type_id,Region,Region Type,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,0.991998972,0.10%,1.10%,Atlanta,19,5.60%,-51.30%,13,8.30%,85.70%,FALSE,3/15/2020 14:30,37,2,17,358.1914007,0.206709153,0.211987048,514800,0.031663327,0.689530686,316.7619886,0.008817863,0.047253921,$475K,75.90%,23.40%,,,,21,10.50%,-38.20%,0.666666667,0,0.25,"Atlanta, GA",12060,9,2,-0.25,4/1/2017,90,6/30/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.421052632,0.087719298,0.164642375,Georgia,GA,149052
Value,,1,1.000737369,0.90%,1.30%,Atlanta,21,10.50%,-40.00%,13,0.00%,160.00%,FALSE,3/15/2020 14:30,29,-8,4,342.8818444,-0.042741273,0.107614333,562500,0.092657343,1.083719207,339.5310508,0.071880664,0.206333851,$500K,5.20%,50.60%,,,,26,23.80%,8.30%,0.375,-0.291666667,-0.125,"Atlanta, GA",12060,8,-0.111111111,0.333333333,5/1/2017,90,7/31/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.571428571,0.15037594,0.257142857,Georgia,GA,149052
Value,,1,0.996956819,-0.40%,0.20%,Atlanta,24,14.30%,-7.70%,15,15.40%,87.50%,FALSE,3/15/2020 14:30,27.5,-1.5,15.5,334.5061728,-0.024427282,0.042516352,514800,-0.0848,0.3728,343.2098765,0.01083502,0.153501421,$487K,-2.50%,91.50%,,,,25,-3.80%,19.00%,0.333333333,-0.041666667,-0.166666667,"Atlanta, GA",12060,3,-0.625,-0.25,6/1/2017,90,8/31/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.541666667,-0.029761905,0.157051282,Georgia,GA,149052
Value,,1,1.002344902,0.50%,0.70%,Atlanta,23,-4.20%,4.50%,14,-6.70%,-6.70%,FALSE,3/15/2020 14:30,19,-8.5,0.5,297.6270053,-0.110249587,-0.022190351,362450,-0.295940171,-0.295461172,318.4942943,-0.072013027,0.201751366,$377K,-22.70%,14.50%,,,,22,-12.00%,-15.40%,0.375,0.041666667,-0.425,"Atlanta, GA",12060,8,1.666666667,0.6,7/1/2017,90,9/30/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.565217391,0.023550725,0.247035573,Georgia,GA,149052
Value,,1,0.996366188,-0.60%,0.60%,Atlanta,20,-13.00%,5.30%,5,-64.30%,-68.80%,FALSE,3/15/2020 14:30,19,0,-4,277.5767733,-0.067366979,-0.088062432,278450,-0.231756104,-0.474076872,296.1564171,-0.070135879,0.174142255,$327K,-13.10%,-25.30%,,,,18,-18.20%,-35.70%,0.444444444,0.069444444,0.444444444,"Atlanta, GA",12060,9,0.125,0.5,8/1/2017,90,10/31/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.5,-0.065217391,0.184210526,Georgia,GA,149052
Value,,1,1.003221253,0.70%,2.10%,Atlanta,22,10.00%,4.80%,5,0.00%,-58.30%,FALSE,3/15/2020 14:30,18.5,-0.5,-16.5,320.5128205,0.1546817,0.099590178,415000,0.490393248,-0.082771577,284.9821747,-0.037730881,0.101735211,$288K,-12.20%,-34.30%,,,,13,-27.80%,-50.00%,1,0.555555556,0.5,"Atlanta, GA",12060,1,-0.888888889,-0.875,9/1/2017,90,11/30/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.5,0,0.30952381,Georgia,GA,149052
Value,,1,0.987848193,-1.50%,0.80%,Atlanta,18,-18.20%,-5.30%,7,40.00%,-41.70%,FALSE,3/15/2020 14:30,18.5,0,-16.5,337.9493265,0.054401899,0.175236025,629450,0.516746988,0.481058824,317.4052741,0.113772377,0.084137389,$555K,93.00%,16.70%,,,,10,-23.10%,-41.20%,1,0,0.5,"Atlanta, GA",12060,2,1,-0.5,10/1/2017,90,12/31/2017,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.388888889,-0.111111111,0.178362573,Georgia,GA,149052
Value,,1,0.9967594,0.90%,1.60%,Atlanta,12,-33.30%,-29.40%,6,-14.30%,-14.30%,FALSE,3/15/2020 14:30,13,-5.5,-17,353.200883,0.045129714,0.361447658,425000,-0.324807372,0,335.6436133,0.057460731,0.153774921,$508K,-8.60%,23.10%,,,,11,10.00%,-26.70%,0.75,-0.25,0.083333333,"Atlanta, GA",12060,4,1,-0.333333333,11/1/2017,90,1/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.416666667,0.027777778,0.181372549,Georgia,GA,149052
Value,,1,0.986740635,-1.00%,0.90%,Atlanta,10,-16.70%,-37.50%,10,66.70%,-37.50%,FALSE,3/15/2020 14:30,8,-5,-14.5,344.3766938,-0.024983486,0.084445103,425000,0,0.150358641,345.0901911,0.028144667,0.28256374,$508K,0.00%,26.10%,,,,18,63.60%,-18.20%,0.5,-0.25,-0.5,"Atlanta, GA",12060,4,0,1,12/1/2017,90,2/28/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.4,-0.016666667,0.15,Georgia,GA,149052
Value,,1,1.007913366,2.10%,2.40%,Atlanta,14,40.00%,-26.30%,11,10.00%,-21.40%,FALSE,3/15/2020 14:30,13.5,5.5,-6.5,314.861461,-0.085706244,0.037325395,399900,-0.059058824,0.0664,331.0040904,-0.040818606,0.175064521,$321K,-36.80%,18.70%,,,,29,61.10%,16.00%,0.538461538,0.038461538,0.427350427,"Atlanta, GA",12060,13,2.25,0.444444444,1/1/2018,90,3/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.5,0.1,0.236842105,Georgia,GA,149052
Value,,1,1.003811147,-0.40%,2.10%,Atlanta,21,50.00%,0.00%,6,-45.50%,-25.00%,FALSE,3/15/2020 14:30,18,4.5,-15,315.7041118,0.002676259,0.040101546,429950,0.075143786,0.146533333,330.8823529,-0.000367782,0.110294118,$435K,35.70%,61.10%,,,,34,17.20%,47.80%,0.666666667,0.128205128,0.416666667,"Atlanta, GA",12060,15,0.153846154,0.875,2/1/2018,90,4/30/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.428571429,-0.071428571,0.142857143,Georgia,GA,149052
Value,,1,1.005614198,0.20%,1.40%,Atlanta,30,42.90%,66.70%,13,116.70%,8.30%,FALSE,3/15/2020 14:30,12,-6,-23,332.7754449,0.054073839,0.121085471,429950,0,-0.138376754,330.8823529,0,0.053788145,$413K,-5.20%,52.80%,,,,40,17.60%,110.50%,0.75,0.083333333,0.083333333,"Atlanta, GA",12060,8,-0.466666667,1.666666667,3/1/2018,90,5/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.466666667,0.038095238,0.133333333,Georgia,GA,149052
Value,,1,1.002788355,-0.30%,1.10%,Atlanta,36,20.00%,89.50%,13,0.00%,0.00%,FALSE,3/15/2020 14:30,11,-1,-26,363.6363636,0.092737968,0.015201266,489900,0.139434818,-0.048368298,324.6065647,-0.018966827,0.024764891,$446K,8.00%,-6.20%,,,,35,-12.50%,66.70%,0.375,-0.375,-0.291666667,"Atlanta, GA",12060,8,0,-0.111111111,4/1/2018,90,6/30/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.472222222,0.005555556,0.051169591,Georgia,GA,149052
Value,,1,0.999815749,-0.30%,-0.10%,Atlanta,35,-2.80%,66.70%,11,-15.40%,-15.40%,FALSE,3/15/2020 14:30,11.5,0.5,-17.5,366.3915893,0.007576871,0.06856515,482450,-0.015207185,-0.142311111,341.25,0.051272639,0.005062716,$436K,-2.10%,-12.80%,,,,34,-2.90%,30.80%,0.363636364,-0.011363636,-0.011363636,"Atlanta, GA",12060,11,0.375,0.375,5/1/2018,90,7/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.4,-0.072222222,-0.171428571,Georgia,GA,149052
Value,,1,0.99539337,-0.40%,-0.20%,Atlanta,35,0.00%,45.80%,7,-36.40%,-53.30%,FALSE,3/15/2020 14:30,16,4.5,-11.5,365.8614149,-0.001447016,0.093735915,482450,0,-0.062839938,367.6470588,0.077354019,0.071201862,$489K,12.20%,0.30%,,,,28,-17.60%,12.00%,0.75,0.386363636,0.416666667,"Atlanta, GA",12060,12,0.090909091,3,6/1/2018,90,8/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.428571429,0.028571429,-0.113095238,Georgia,GA,149052
Value,,1,0.993803028,-0.20%,-0.90%,Atlanta,30,-14.30%,30.40%,13,85.70%,-7.10%,FALSE,3/15/2020 14:30,12,-4,-7,370.2469136,0.011986776,0.243996368,479900,-0.005285522,0.324044696,368.9469862,0.003535802,0.158410034,$491K,0.30%,30.20%,,,,29,3.60%,31.80%,0.666666667,-0.083333333,0.291666667,"Atlanta, GA",12060,3,-0.75,-0.625,7/1/2018,90,9/30/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.433333333,0.004761905,-0.131884058,Georgia,GA,149052
Value,,1,0.993256,-0.10%,-0.30%,Atlanta,24,-20.00%,20.00%,17,30.80%,240.00%,FALSE,3/15/2020 14:30,10,-2,-9,365.3846154,-0.013132583,0.316337138,499000,0.039799958,0.792063207,362.8708073,-0.016468975,0.225267414,$475K,-3.20%,45.10%,,,,29,0.00%,61.10%,0.8,0.133333333,0.355555556,"Atlanta, GA",12060,5,0.666666667,-0.444444444,8/1/2018,90,10/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.5,0.066666667,0,Georgia,GA,149052
Value,,1,0.996351489,0.30%,-0.70%,Atlanta,13,-45.80%,-40.90%,20,17.60%,300.00%,FALSE,3/15/2020 14:30,8,-2,-10.5,335.0521585,-0.083015145,0.045362734,461950,-0.074248497,0.11313253,320.0883002,-0.117900107,0.123187093,$475K,0.00%,65.20%,,,,30,3.40%,130.80%,0.142857143,-0.657142857,-0.857142857,"Atlanta, GA",12060,7,0.4,6,9/1/2018,90,11/30/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.384615385,-0.115384615,-0.115384615,Georgia,GA,149052
Value,,1,0.991412945,-0.50%,0.40%,Atlanta,10,-23.10%,-44.40%,17,-15.00%,142.90%,FALSE,3/15/2020 14:30,10,2,-8.5,331.0154525,-0.012047993,-0.020517496,449000,-0.028033337,-0.286678847,331.5909302,0.035935803,0.044692566,$342K,-28.00%,-38.30%,,,,21,-30.00%,110.00%,0,-0.142857143,-1,"Atlanta, GA",12060,2,-0.714285714,0,10/1/2018,90,12/31/2018,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.2,-0.184615385,-0.188888889,Georgia,GA,149052
Value,,1,0.984905746,-0.70%,-1.20%,Atlanta,12,20.00%,0.00%,17,0.00%,183.30%,FALSE,3/15/2020 14:30,23,13,10,326.6754894,-0.013111059,-0.075100021,422445,-0.059142539,-0.006011765,351.9249898,0.061322725,0.048507929,$343K,0.10%,-32.50%,,,,20,-4.80%,81.80%,0.6,0.6,-0.15,"Atlanta, GA",12060,5,1.5,0.25,11/1/2018,90,1/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.166666667,-0.033333333,-0.25,Georgia,GA,149052
Value,,1,0.981590644,-0.30%,-0.50%,Atlanta,12,0.00%,20.00%,14,-17.60%,40.00%,FALSE,3/15/2020 14:30,40,17,32,370.1234568,0.13300039,0.074763372,335000,-0.206997361,-0.211764706,326.8382353,-0.071284379,-0.052890393,$356K,3.90%,-29.90%,,,,15,-25.00%,-16.70%,0.2,-0.4,-0.3,"Atlanta, GA",12060,5,0,0.25,12/1/2018,90,2/28/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.083333333,-0.083333333,-0.316666667,Georgia,GA,149052
Value,,1,0.983460069,0.20%,-2.40%,Atlanta,15,25.00%,7.10%,16,14.30%,45.50%,FALSE,3/15/2020 14:30,40,0,26.5,370.1234568,0,0.175512099,479000,0.429850746,0.19779945,330.1470588,0.010123735,-0.002589187,$302K,-15.20%,-5.80%,,,,21,40.00%,-27.60%,0.5,0.3,-0.038461538,"Atlanta, GA",12060,4,-0.2,-0.692307692,1/1/2019,90,3/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.133333333,0.05,-0.366666667,Georgia,GA,149052
Value,,1,0.986912658,0.30%,-1.70%,Atlanta,19,26.70%,-9.50%,15,-6.30%,150.00%,FALSE,3/15/2020 14:30,32,-8,14,357.1428571,-0.035071,0.131258174,590000,0.231732777,0.372252588,347.8773585,0.053704248,0.051362683,$422K,39.70%,-3.00%,,,,23,9.50%,-32.40%,0.444444444,-0.055555556,-0.222222222,"Atlanta, GA",12060,9,1.25,-0.4,2/1/2019,90,4/30/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.210526316,0.077192982,-0.218045113,Georgia,GA,149052
Value,,1,0.987706585,0.10%,-1.80%,Atlanta,26,36.80%,-13.30%,20,33.30%,53.80%,FALSE,3/15/2020 14:30,30.5,-1.5,18.5,353.9071348,-0.009060023,0.063501349,615000,0.042372881,0.430398884,348.9386792,0.003050847,0.054570231,$422K,0.10%,2.40%,,,,29,26.10%,-27.50%,0.5,0.055555556,-0.25,"Atlanta, GA",12060,6,-0.333333333,-0.25,3/1/2019,90,5/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.269230769,0.058704453,-0.197435897,Georgia,GA,149052
Value,,1,0.991081917,0.30%,-1.20%,Atlanta,22,-15.40%,-38.90%,25,25.00%,92.30%,FALSE,3/15/2020 14:30,26,-4.5,15,338.8554217,-0.04253012,-0.06814759,509900,-0.170894309,0.040824658,358.4692365,0.027312986,0.104319122,$482K,14.10%,8.10%,,,,29,0.00%,-17.10%,0.666666667,0.166666667,0.291666667,"Atlanta, GA",12060,3,-0.5,-0.625,4/1/2019,90,6/30/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.272727273,0.003496503,-0.199494949,Georgia,GA,149052
Value,,1,0.993965414,0.30%,-0.60%,Atlanta,20,-9.10%,-42.90%,22,-12.00%,100.00%,FALSE,3/15/2020 14:30,20.5,-5.5,9,354.3663757,0.045774549,-0.03282066,617450,0.210923711,0.279821743,329.9011057,-0.079694791,-0.033256833,$469K,-2.60%,7.70%,,,,28,-3.40%,-17.60%,0.25,-0.416666667,-0.113636364,"Atlanta, GA",12060,8,1.666666667,-0.272727273,5/1/2019,90,7/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.3,0.027272727,-0.1,Georgia,GA,149052
Value,,1,0.989305837,-0.50%,-0.60%,Atlanta,16,-20.00%,-54.30%,27,22.70%,285.70%,FALSE,3/15/2020 14:30,21,0.5,5,346.7924528,-0.021373142,-0.052120725,599900,-0.028423354,0.243444917,311.8608443,-0.054683847,-0.151738504,$620K,32.10%,26.80%,,,,31,10.70%,10.70%,0.285714286,0.035714286,-0.464285714,"Atlanta, GA",12060,7,-0.125,-0.416666667,6/1/2019,90,8/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.25,-0.05,-0.178571429,Georgia,GA,149052
Value,,1,0.981846928,-0.70%,-1.20%,Atlanta,24,50.00%,-20.00%,21,-22.20%,61.50%,FALSE,3/15/2020 14:30,27,6,15,375.5980861,0.083063034,0.014452984,609900,0.016669445,0.270889769,315.5407058,0.011799691,-0.144753264,$610K,-1.70%,24.30%,,,,27,-12.90%,-6.90%,0.428571429,0.142857143,-0.238095238,"Atlanta, GA",12060,7,0,1.333333333,7/1/2019,90,9/30/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.166666667,-0.083333333,-0.266666667,Georgia,GA,149052
Value,,1,0.977831256,-0.40%,-1.50%,Atlanta,25,4.20%,4.20%,19,-9.50%,11.80%,FALSE,3/15/2020 14:30,47,20,37,370.0189753,-0.014853938,0.012683511,515000,-0.155599279,0.032064128,319.221968,0.011666521,-0.120287547,$469K,-23.10%,-1.30%,,,,23,-14.80%,-20.70%,0.5,0.071428571,-0.3,"Atlanta, GA",12060,2,-0.714285714,-0.6,8/1/2019,90,10/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.08,-0.086666667,-0.42,Georgia,GA,149052
Value,,1,0.976840193,-0.10%,-2.00%,Atlanta,22,-12.00%,69.20%,19,0.00%,-5.00%,FALSE,3/15/2020 14:30,47,0,39,410.5565352,0.109555354,0.225351113,759950,0.475631068,0.64509146,328.4789085,0.028998445,0.026213418,$404K,-13.90%,-14.90%,,,,14,-39.10%,-53.30%,1,0.5,0.857142857,"Atlanta, GA",12060,2,0,-0.714285714,9/1/2019,90,11/30/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.045454545,-0.034545455,-0.339160839,Georgia,GA,149052
Value,,1,0.996620783,2.00%,0.50%,Atlanta,12,-45.50%,20.00%,12,-36.80%,-29.40%,FALSE,3/15/2020 14:30,47,0,37,369.5332972,-0.099921045,0.116362678,642500,-0.154549641,0.430957684,352.6410564,0.073557684,0.063482213,$578K,42.90%,68.80%,,,,12,-14.30%,-42.90%,0.5,-0.5,0.5,"Atlanta, GA",12060,4,1,1,10/1/2019,90,12/31/2019,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.166666667,0.121212121,-0.033333333,Georgia,GA,149052
Value,,1,1.009776818,1.30%,2.50%,Atlanta,8,-33.30%,-33.30%,9,-25.00%,-47.10%,FALSE,3/15/2020 14:30,48,1,25,369.047619,-0.001314301,0.129707098,495000,-0.229571984,0.171750169,350.8714297,-0.00501821,-0.002993706,$685K,18.70%,100.10%,,,,12,0.00%,-40.00%,1,0.5,0.4,"Atlanta, GA",12060,2,-0.5,-0.6,11/1/2019,90,1/31/2020,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.375,0.208333333,0.208333333,Georgia,GA,149052
Value,,1,0.998027444,-1.20%,1.60%,Atlanta,14,75.00%,16.70%,6,-33.30%,-57.10%,FALSE,3/15/2020 14:30,62,14,22,335.1614869,-0.091820487,-0.094460292,497450,0.004949495,0.484925373,354.0406078,0.009032306,0.083228856,$508K,-25.90%,42.60%,,,,18,50.00%,20.00%,0.615384615,-0.384615385,0.415384615,"Atlanta, GA",12060,13,5.5,1.6,12/1/2019,90,2/29/2020,,,,All Residential,-1,"Atlanta, GA - Inman Park",Neighborhood,1,0.357142857,-0.017857143,0.273809524,Georgia,GA,149052
Value,,1,0.96540726,0.70%,2.20%,Atlanta,124,-1.60%,25.30%,297,0.70%,-26.10%,FALSE,3/15/2020 14:30,95.5,7,4,184.7276265,0.010473063,0.128889628,178000,-0.06043811,0.033537718,147.5843156,-0.0027714,-0.072537468,$160K,-2.70%,2.20%,,,,203,6.80%,3.60%,0.12,-0.065185185,-0.13,"Atlanta, GA",12060,25,-0.074074074,-0.107142857,12/1/2011,90,2/29/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.193548387,0.042754736,0.122841316,Georgia,GA,147258
Value,,1,0.970534323,0.50%,2.10%,Atlanta,138,11.30%,23.20%,293,-1.30%,-25.30%,FALSE,3/15/2020 14:30,95,-0.5,2.5,176.8033946,-0.042896842,-0.041376209,175000,-0.016853933,-0.113699671,152.0832764,0.030484003,-0.008545489,$143K,-10.50%,-15.30%,,,,242,19.20%,6.10%,0.145833333,0.025833333,0.068910256,"Atlanta, GA",12060,48,0.92,0.846153846,1/1/2012,90,3/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.224637681,0.031089294,0.108566253,Georgia,GA,147258
Value,,1,0.955595237,-1.50%,0.30%,Atlanta,144,4.30%,3.60%,298,1.70%,-22.20%,FALSE,3/15/2020 14:30,75,-20,-47.5,180.257254,0.019535029,-0.029906623,175700,0.004,-0.162934731,156.5145576,0.029137202,0.025829013,$151K,5.80%,-6.20%,,,,235,-2.90%,-4.50%,0.131578947,-0.014254386,-0.068421053,"Atlanta, GA",12060,38,-0.208333333,0.52,2/1/2012,90,4/30/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.166666667,-0.057971014,0.037170264,Georgia,GA,147258
Value,,1,0.95593331,0.00%,0.40%,Atlanta,182,26.40%,23.00%,265,-11.10%,-28.20%,FALSE,3/15/2020 14:30,70,-5,-56,175.9532068,-0.023877248,-0.072494724,170500,-0.029595902,-0.141922496,163.9460923,0.047481428,0.072840218,$160K,5.70%,0.40%,,,,226,-3.80%,1.80%,0.232142857,0.10056391,0.093253968,"Atlanta, GA",12060,56,0.473684211,0.555555556,3/1/2012,90,5/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.164835165,-0.001831502,0.036456786,Georgia,GA,147258
Value,,1,0.95823034,0.20%,0.40%,Atlanta,192,5.50%,20.00%,256,-3.40%,-28.10%,FALSE,3/15/2020 14:30,54.5,-15.5,-53.5,191.2269129,0.086805501,0.080681151,185000,0.085043988,-0.021164021,165.7156518,0.010793545,0.059907215,$172K,7.90%,13.00%,,,,223,-1.30%,0.90%,0.283018868,0.050876011,0.149685535,"Atlanta, GA",12060,53,-0.053571429,0.766666667,4/1/2012,90,6/30/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.15625,-0.008585165,0.00625,Georgia,GA,147258
Value,,1,0.96558202,0.70%,0.60%,Atlanta,223,16.10%,53.80%,268,4.70%,-15.70%,FALSE,3/15/2020 14:30,62,7.5,-27,189.6115628,-0.008447295,0.109399526,185000,0,0.121212121,168.412807,0.016275802,0.099300307,$165K,-4.20%,11.10%,,,,233,4.50%,13.70%,0.181818182,-0.101200686,-0.032467532,"Atlanta, GA",12060,33,-0.377358491,-0.214285714,5/1/2012,90,7/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.183856502,0.027606502,0.011442709,Georgia,GA,147258
Value,,1,0.972150857,0.70%,1.40%,Atlanta,224,0.40%,31.80%,243,-9.30%,-17.10%,FALSE,3/15/2020 14:30,52,-10,-30.5,195.0980392,0.028935347,0.157225356,203000,0.097297297,0.194820483,172.146402,0.022169306,0.100276288,$165K,0.00%,-4.50%,,,,229,-1.70%,9.00%,0.169811321,-0.012006861,-0.063522013,"Atlanta, GA",12060,53,0.606060606,0.766666667,6/1/2012,90,8/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.168141593,-0.015714909,0.015200416,Georgia,GA,147258
Value,,1,0.973773868,0.20%,2.20%,Atlanta,203,-9.40%,26.90%,228,-6.20%,-22.70%,FALSE,3/15/2020 14:30,58,6,-32,188.0312339,-0.036221816,0.096061464,200000,-0.014778325,0.111728738,177.8093883,0.032896339,0.170027346,$168K,1.80%,8.20%,,,,211,-7.90%,3.40%,0.257142857,0.087331536,-0.022857143,"Atlanta, GA",12060,35,-0.339622642,0.4,7/1/2012,90,9/30/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.151219512,-0.016922081,0.044969512,Georgia,GA,147258
Value,,1,0.974372134,0.10%,2.20%,Atlanta,184,-9.40%,10.20%,211,-7.50%,-32.40%,FALSE,3/15/2020 14:30,55,-3,-36.5,183.8064516,-0.022468514,0.070384789,189900,-0.0505,0.004761905,179.9088311,0.011807266,0.160603353,$175K,4.20%,6.10%,,,,169,-19.90%,-21.40%,0.25,-0.007142857,-0.027777778,"Atlanta, GA",12060,40,0.142857143,1.222222222,8/1/2012,90,10/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.14516129,-0.006058222,0.025400811,Georgia,GA,147258
Value,,1,0.96807601,-0.60%,2.00%,Atlanta,164,-10.90%,26.20%,208,-1.40%,-33.10%,FALSE,3/15/2020 14:30,57,2,-38,177.1818182,-0.036041354,0.010146346,199900,0.052659294,0.057671958,174.5384017,-0.029850839,0.155444219,$175K,0.00%,25.10%,,,,171,1.20%,-15.30%,0.264705882,0.014705882,0.131372549,"Atlanta, GA",12060,34,-0.15,0.133333333,9/1/2012,90,11/30/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.176829268,0.031667978,0.061444653,Georgia,GA,147258
Value,,1,0.971470086,0.30%,2.30%,Atlanta,158,-3.70%,21.50%,194,-6.70%,-29.20%,FALSE,3/15/2020 14:30,51,-6,-35,181.2906419,0.023189872,0.046375517,192400,-0.037518759,0.081506464,174.4360902,-0.000586183,0.100149664,$190K,8.50%,14.10%,,,,154,-9.90%,-9.90%,0.25,-0.014705882,0.25,"Atlanta, GA",12060,28,-0.176470588,0.076923077,10/1/2012,90,12/31/2012,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.189873418,0.013044149,0.036027264,Georgia,GA,147258
Value,,1,0.968874834,-0.30%,1.10%,Atlanta,131,-17.10%,4.00%,203,4.60%,-31.20%,FALSE,3/15/2020 14:30,56.5,5.5,-32,189.4918174,0.045237721,0.036533521,189450,-0.01533264,0,167.7725118,-0.038200686,0.133640431,$190K,0.00%,15.80%,,,,182,18.20%,-4.20%,0.307692308,0.057692308,0.122507123,"Atlanta, GA",12060,39,0.392857143,0.444444444,11/1/2012,90,1/31/2013,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.190839695,0.000966277,0.040046044,Georgia,GA,147258
Value,,1,0.972076353,0.30%,0.70%,Atlanta,131,0.00%,5.60%,217,6.90%,-26.90%,FALSE,3/15/2020 14:30,56,-0.5,-39.5,215.245478,0.135909091,0.165204589,219950,0.160992346,0.235674157,167.8462559,0.000439548,0.137290607,$190K,0.10%,19.10%,,,,212,16.50%,4.40%,0.326530612,0.018838305,0.206530612,"Atlanta, GA",12060,49,0.256410256,0.96,12/1/2012,90,2/28/2013,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.129770992,-0.061068702,-0.063777395,Georgia,GA,147258
Value,,1,0.974153957,0.20%,0.40%,Atlanta,159,21.40%,15.20%,232,6.90%,-20.80%,FALSE,3/15/2020 14:30,50,-6,-45,222.8129829,0.035157555,0.260230231,225000,0.022959764,0.285714286,168.8262207,0.005838467,0.110090634,$183K,-3.70%,28.20%,,,,279,31.60%,15.30%,0.15,-0.176530612,0.004166667,"Atlanta, GA",12060,60,0.224489796,0.25,1/1/2013,90,3/31/2013,,,,All Residential,-1,"Atlanta, GA - Midtown",Neighborhood,1,0.13836478,0.008593788,-0.086272901,Georgia,GA,147258
